Stride, Size, Result
4, 4096, 2.336047
16, 4096, 2.326800
64, 4096, 2.439120
256, 4096, 1.158631
1024, 4096, 1.223138
4, 16384, 2.293218
16, 16384, 2.347177
64, 16384, 2.322123
256, 16384, 2.518512
1024, 16384, 2.550161
4096, 16384, 1.221433
4, 65536, 2.282729
16, 65536, 2.298577
64, 65536, 2.283548
256, 65536, 2.323544
1024, 65536, 3.664914
4096, 65536, 2.542131
16384, 65536, 1.221695
4, 262144, 2.281245
16, 262144, 2.303248
64, 262144, 2.290920
256, 262144, 2.309406
1024, 262144, 3.616392
4096, 262144, 3.237757
16384, 262144, 2.542079
65536, 262144, 1.222746
4, 1048576, 2.278519
16, 1048576, 2.295659
64, 1048576, 2.278519
256, 1048576, 2.287019
1024, 1048576, 3.413158
4096, 1048576, 2.510339
16384, 1048576, 3.212644
65536, 1048576, 2.542931
262144, 1048576, 1.230726
4, 4194304, 2.280426
16, 4194304, 2.299673
64, 4194304, 2.280495
256, 4194304, 2.296765
1024, 4194304, 3.958528
4096, 4194304, 4.592014
16384, 4194304, 4.337124
65536, 4194304, 4.242048
262144, 4194304, 2.582863
1048576, 4194304, 1.323934
4, 16777216, 2.292486
16, 16777216, 2.421722
64, 16777216, 6.249504
256, 16777216, 5.070376
1024, 16777216, 11.371457
4096, 16777216, 4.691854
16384, 16777216, 5.055996
65536, 16777216, 4.668382
262144, 16777216, 4.726044
1048576, 16777216, 3.152361
4194304, 16777216, 1.367176
4, 67108864, 2.292486
16, 67108864, 2.437818
64, 67108864, 6.426377
256, 67108864, 5.135564
1024, 67108864, 14.040108
4096, 67108864, 4.702319
16384, 67108864, 5.634110
65536, 67108864, 3.870438
262144, 67108864, 4.644517
1048576, 67108864, 4.750836
4194304, 67108864, 3.100138
16777216, 67108864, 1.368211
